City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Caxias,0,PT, 03/15/2021,55,38.7031,-9.2767,63,13.8
77,Jinka,100,ET, 03/15/2021,82,5.65,36.65,66.33,2.66
78,Matagami,75,CA, 03/15/2021,41,49.7502,-77.6328,14,5.19
79,Torbay,90,CA, 03/15/2021,86,47.6666,-52.7314,28,4.61
80,Puerto Madryn,17,AR, 03/15/2021,37,-42.7692,-65.0385,80.56,8.21
81,Clyde River,20,CA, 03/15/2021,71,70.4692,-68.5914,-5.8,20.71
82,Kodiak,75,US, 03/15/2021,55,57.79,-152.4072,33.8,5.75
83,Umm Lajj,90,SA, 03/15/2021,62,25.0213,37.2685,77.09,1.3
84,Porbandar,0,IN, 03/15/2021,60,21.6422,69.6093,75.2,12.3
85,Chapleau,20,CA, 03/15/2021,21,47.8405,-83.4034,30.2,3.44
86,Komsomolskiy,92,UZ, 03/15/2021,86,40.4272,71.7189,32,4.61
87,East London,100,ZA, 03/15/2021,79,-33.0153,27.9116,70.48,13.65
88,Chumikan,100,RU, 03/15/2021,95,54.7183,135.315,18.48,10.18
89,Bambous Virieux,20,MU, 03/15/2021,83,-20.3428,57.7575,80.01,5.75
90,Sao Filipe,100,CV, 03/15/2021,68,14.8961,-24.4956,72.73,13.82
91,Nabire,100,ID, 03/15/2021,82,-3.3667,135.4833,75.42,3.78
92,Wakkanai,14,JP, 03/15/2021,79,45.4094,141.6739,37.4,12.01
93,Boffa,0,GN, 03/15/2021,73,10.1667,-14.0333,76.26,5.64
94,Faanui,63,PF, 03/15/2021,76,-16.4833,-151.75,82.33,13.65
95,Kavieng,12,PG, 03/15/2021,73,-2.5744,150.7967,81.28,5.7
96,Bengkulu,100,ID, 03/15/2021,86,-3.8004,102.2655,77.34,3.8
97,Tateyama,75,JP, 03/15/2021,54,34.9833,139.8667,51.8,6.91
98,Constitucion,64,CL, 03/15/2021,67,-35.3333,-72.4167,61.23,6.82
99,Minsk,0,BY, 03/15/2021,93,53.9,27.5667,28.4,2.24
100,Juegang,100,CN, 03/15/2021,94,32.3174,121.1855,54,1.01
101,Aklavik,75,CA, 03/15/2021,71,68.2191,-135.0107,-7.6,11.5
102,Leixlip,75,IE, 03/15/2021,87,53.3658,-6.4956,54,11.5
103,Tarakan,62,ID, 03/15/2021,81,3.3,117.6333,80.6,6.26
104,Southwick,1,US, 03/15/2021,19,42.0548,-72.7704,32,11.5
105,Lorengau,100,PG, 03/15/2021,69,-2.0226,147.2712,82.22,8.39
